Index,Titol,Valoracio,Data_critica,Gènere,Director,Interprets,Guio,Pais,Durada,Edat_recomanada,Distribuidora,Data_estrena
133,Oro blanco,7,26-06-2020,Drama,Grímur Hákonarson,"Arndís Hrönn Egilsdóttir, Sigurður Sigurjónsson, Sveinn Ólafur Gunnarsso",,Islandia,90 min.,,Karma ,26 de Junio de 2020
134,Human Lost,6,26-06-2020,Animación,Fuminori Kizaki,,"Osamu Dazai, Tow Ubukata",Japón,110 min.,,Selecta Visión,26 de Junio de 2020
135,La cinta de Álex,4,26-06-2020,Drama,Irene Zoe Alameda,"Aitana Sánchez-Gijón, Amit Shukla, Fernando Gil, Rocío Yanguas",,España,109 min.,,Syldavia,26 de Junio de 2020
136,Gimanasta A: El médico depredador,7,26-06-2020,Documental,"ción Bonni Cohen, Jon Shenk",,,Estados Unidos,103 min.,,Netflix,26 de Junio de 2020
137,Las vidas de Marona,8,26-06-2020,Animación,Anca Damian,,Anghel Damian,Francia,92 min.,,Pack Magic,26 de Junio de 2020
138,Festival de la canción de Eurovisión: La historia de Fire Saga,6,26-06-2020,Comedia,David Dobkin,Rachel McAdams,,Estados Unidos,123 min.,,Netflix,26 de Junio de 2020
139,Corre como una chica,2,26-06-2020,"Biopic, Drama",,"Henry Nixon, Sam Neill, Sophia Forrest, Sullivan Stapleton, Teresa Palmer","Andrew Knight, Elise McCredie",Australia,98 min.,,,26 de Junio de 2020
140,Divino amor,6,26-06-2020,"Drama, Religión",Gabriel Mascaro,"Dira Paes, Emílio de Melo, Júlio Machado, Mariana Nunes, Teca Pereira, Thalita Carauta",Esdras Bezerra,Brasil,,,,26 de Junio de 2020
141,La posesión de Mary,4,26-06-2020,,Michael Goi,"Emily Mortimer, Gary Oldman, Manuel García-Rulfo, Owen Teague, Stefanie Scott",Anthony Jaswinski,Estados Unidos,84 min.,,eOne Films,26 de Junio de 2020
142,Little Joe,8,19-06-2020,Ciencia-ficción,Jessica Hausner,"Ben Whishaw, David Wilmot, Emily Beecham, Kerry Fox, Kit Connor, Leanne Best","Géraldine Bajard, Jessica Hausner",Austria,105 min.,,Filmin,19 de Junio de 2020
143,The Vast of Night,6,19-06-2020,"Ciencia-ficción, Intriga",Andrew Patterson,"Jake Horowitz, Mollie Milligan, Sierra McCormick","Craig W. Sanger, James Montague",Estados Unidos,91 min.,,,19 de Junio de 2020
144,Un verano inolvidable,8,19-06-2020,Drama,Sharon von Wietersheim,"Heiner Lauterbach, Laura Berlin, Leia Holtwick, Max von Thun, Valerie Huber",,Alemania ,105 min.,,,19 de Junio de 2020
145,Artemis Fowl,6,19-06-2020,Fantasía,kenneth branagh,"Ferdia Shaw, Hong Chau, Josh Gad, Judi Dench, Lara McDonnell",,Estados Unidos ,,,Disney,19 de Junio de 2020
146,Da 5 Bloods: Hermanos de armas,6,19-06-2020,Bélico,Spike Lee,"Chadwick Boseman, Jean Reno",,,,,,19 de Junio de 2020
147,Cuando tú quieras,5,19-06-2020,"Comedia, Drama",Richard Wong,"Grant Rosenmeyer, Hayden Szeto, Ravi Patel",Erik Linthorst,Estados Unidso,107 min.,,,19 de Junio de 2020
148,Matthias & Maxime,7,19-06-2020,Drama,xavier dolan,"Anne Dorval, Catherine Brunet, Pier-Luc Funk, Xavier Dolan",xavier dolan,Francia / Canadá,120 min.,,Avalon,19 de Junio de 2020
149,La red avispa,4,19-06-2020,Thriller,Olivier Assayas,"Édgar Ramírez, Penélope Cruz",Olivier Assayas,Francia,123 min.,,Netflix,19 de Junio de 2020
150,7500,7,19-06-2020,"Drama, Thriller",Patrick Vollrath,,,Alemania ,92 min.,,Amazon Prime Video,19 de Junio de 2020
151,"Padre, soldado, hijo",7,19-06-2020,Documental,"Catrin Einhorn, Leslye Davis",,,Estados Unidos,99 min.,,Netflix,19 de Junio de 2020
152,Sigue el ritmo,5,19-06-2020,"Baile, Drama",Elissa Down,"Donna Lynne Champlin, Enrico Colantoni, Sofia Carson, Wolfgang Novogratz","Michael Armbruster, Shawn Ku",Estados Unidos,109 min.,,Netflix,19 de Junio de 2020
153,Ex Libris: The New York Public Library,8,08-06-2020,Documental,Frederick Wiseman,,,Estados Unidos,197 min.,,,08 de Junio de 2020
154,Bad Education,8,08-06-2020,"Comedia, Drama",Cory Finley,"Allison Janney, Geraldine Viswanathan, Hugh Jackman",Mike Makowsky,Estados Unidos,103 min.,,Flimax,08 de Junio de 2020
155,Heart and Bones,5,08-06-2020,Drama,Ben Lawrence,"Andrew Luri, Bolude Fakuade, Hayley McElhinney, Hugo Weaving",Beatrix Christian,Australia,107 min.,,,08 de Junio de 2020
156,Rocambola,7,08-06-2020,Thriller,Juanra Fernández,"Ana Álvarez, Elisa Matilla, Jan Cornet, Juan Diego Botto, Olfo Bosé, Sheila Ponce",,España,83 min.,,,08 de Junio de 2020
157,La nueva vida de Britt-Marie,5,04-06-2020,"Comedia, Drama",,"Mahmut Suvakci, Olle Sarri, Pernilla August, Peter Haber, Vera Vitali","Anders Frithiof August, Øystein Karlsen",Suecia,94 min.,,,04 de Junio de 2020
158,Natalie Wood: entre bambalinas,8,02-06-2020,Documental,Laurent Bouzereau,,,EE UU,100 min.,,,02 de Junio de 2020
159,Un genio llamado Phil Tippett,7,02-06-2020,Documental,"Alexandre Poncet, Gilles Penso",,"Alexandre Poncet, Gilles Penso",Francia,80 min. ,,Filmin ,02 de Junio de 2020
160,La Rusa,7,02-06-2020,Thriler,Aritz Ortiz,"Eduardo Rosa, Manuel Larrea, Monika Kowalska, Xosé Núñez",,España,60 min. ,,#ConUnPack,02 de Junio de 2020
161,Mi vida con Amanda,6,29-05-2020,Drama,Mikhaël Hers,"Isaure Multrier, Ophélia Kolb Kasapoglu, Stacy Martin, Vincent Lacoste",Maude Ameline,Francia,107 min. ,,,29 de Mayo de 2020
162,1985,7,29-05-2020,Drama,Yen Tan,Cory Michael Smith,,Estados Unidos,85 min.,,,29 de Mayo de 2020
163,Ya no estoy aquí,7,29-05-2020,Drama,Fernando Frías de la Parra,"Angelina Chen, Coral Puente, Jonathan Espinoza, Juan Daniel Garcia, Leo Zapata",,México,112 min.,,,29 de Mayo de 2020
164,Tyler Rake,6,27-05-2020,"Acción, Thriller",Sam Hargrave,"Chris Hemsworth, Golshifteh Farahani, Rudhraksh Jaiswal",,Estados Unidos,117 min.,,Netflix,27 de Mayo de 2020
165,Huérfanos de Brooklyn,6,27-05-2020,"Drama, Thriller",,"Alec Baldwin, Bobby Cannavale, Bruce Willis, Edward Norton, Willem Dafoe",,Estados Unidos,114 min.,,,27 de Mayo de 2020
166,Descubriendo a Anna Frank. Historias paralelas,7,22-05-2020,Documental,"Anna Migotto, Sabina Fedeli","Helen Mirren, Martina Gatti",,Italia,92 min. ,,A Contracorriente Films,22 de Mayo de 2020
167,Los tortolitos,6,22-05-2020,"Comedia, Romance, Thriller",Michael Showalter,"Holly Hunter, Kumail Nanjiani, Linda Emond, Ray Romano, Vella Lovell, Zoe Kazan","Emily V. Gordon, Kumail Nanjiani",Estados Unidos,119 min.,,Netflix,22 de Mayo de 2020
168,Continuar,6,22-05-2020,Drama,Joachim Lafosse,"Damira Ripert, Diego Martín, Kacey Mottet Klein, Virginie Efira","Joachim Lafosse, Thomas van Zuylen","Bélgica, Francia",84 min.,,,22 de Mayo de 2020
169,Entre la razón y la locura,7,20-05-2020,"Drama, Thriller",Farhad Safinia,,,Estados Unidos,124 min.,,,20 de Mayo de 2020
170,Buen viaje: Aventuras psicodélicas,6,18-05-2020,Documental,Donick Cary,,,Estados Unidos,85 min.,,Netflix,18 de Mayo de 2020
171,Bacurau,7,18-05-2020,"Acción, Supervivencia, Western","Juliano Dornelles, Kleber Mendonça Filho","Bárbara Colen, Sonia Braga, Thomas Aquino, Udo Kier",,,,,La Aventura,18 de Mayo de 2020
172,Ricordi?,6,18-05-2020,"Drama, Romance",Valerio Mieli,,,Italia,106 min.,,,18 de Mayo de 2020
173,Cartas a Roxane,6,15-05-2020,Comedia,Alexis Michalik,"Dominique Pinon, Guillaume Bouchède, Olivier Gourmet, Thomas Solivéres",,Francia,112 min.,,A Contracorriente Films,15 de Mayo de 2020
174,Marianne & Leonard: Words of Love,8,15-05-2020,Documental,Nick Broomfield,,,RU,92,,Filmin,15 de Mayo de 2020
175,Parking,6,15-05-2020,"Drama, Romance",Tudor Giurgiu,"Ariadna Gil, Belén Cuesta, Luis Bermejo, Manuel Bandera, Mihai Smarandache",,Rumanía-España,110 min.,,Filmin,15 de Mayo de 2020
176,Noches mágicas,7,15-05-2020,Comedia,Carlo Virzì,"Giancarlo Giannini, Giovanni Toscano, Irene Vetere, Mauro Lamantia","Francesca Archibugi, Francesco Piccolo, Paolo Virzì",Italia,110 min. ,,,15 de Mayo de 2020
177,Maravillas en Montfermeil,7,13-05-2020,"Comedia, Sátira",Jeanne Balibar,"Bulle Ogier, Emmanuelle Béart, Jeanne Balibar, Mathieu Amalric, Ramzy Bedia",,Francia,109 min.,,,13 de Mayo de 2020
178,Bombshell: la historia de Hedy Lamarr,6,13-05-2020,Documental,Alexandra Dean,,,Estados Unidos,96 min.,,,13 de Mayo de 2020
179,Wojtyla. La investigación,3,08-05-2020,Documental,José María Zavala,,,España,75 min.,,,08 de Mayo de 2020
180,Dragged Across Concrete,8,08-05-2020,Acción,S. Craig Zahler,Mel Gibson,,"EE UU, Reino Unido, Canadá",159 min.,,Filmin,08 de Mayo de 2020
181,El captor,5,07-05-2020,"Comedia, Drama",,"Christopher Heyerdahl, Ethan Hawke, Mark Strong, Noomi Rapace, Thorbjørn Harr",,Estados Unidos,92 min.,,,07 de Mayo de 2020
182,Rob Ford: Crónica de un escándalo (Run This Town),7,05-05-2020,"Drama, Periodismo",Ricky Tollman,,,Canadá,99 min. ,,,05 de Mayo de 2020
183,Vivarium,8,05-05-2020,Fantasía,,"Danielle Ryan, Imogen Poots, Jesse Eisenberg, Jonathan Aris, Olga Wehrly",Garret Shanley,Irlanda,97 min.,,A Contracorriente Films,05 de Mayo de 2020
184,Hijos de la ultraderecha,5,04-05-2020,"Drama, Thriller",Ulaa Salim,"Imad Abul-Foul, Morten Holst, Olaf Johannessen, Rasmus Bjerg, Zaki Youssef",,Dinamarca,120 min.,,Filmin,04 de Mayo de 2020
185,A Secret Love,8,04-05-2020,Documental,Chris Bolan,,,EE UU,82 min.,,Netflix,04 de Mayo de 2020
186,Los hermanos Willoughby,6,28-04-2020,"Animación, Comedia, Drama, Familiar","Cory Evans, Kris Pearn, Rob Lodermeier",,,Canadá,92 min.,,Netflix,28 de Abril de 2020
187,Doble yo,7,28-04-2020,Documental,Felipe Rugeles,,,Colombia,74 min. ,,Tourmalet Films,28 de Abril de 2020
188,Pullman,6,28-04-2020,"Drama, Infancia",Toni Bestard,"Alba Bonnin, Armando Buika, Carolina Parejo, Keba Diedhou, Monika Kowalska","Arturo Ruiz, Toni Bestard",España,70 min. ,,Filmin,28 de Abril de 2020
189,La canción de los nombres olvidados,6,13-03-2020,"Drama, Música",François Girard,"Catherine McCormack, Clive Owen, Jonah Hauer-King, Saul Rubinek, Tim Roth",Jeffrey Caine,Canadá,111 min.,,Filmax,13 de Marzo de 2020
190,La familia Samuni,6,13-03-2020,"Animación, Documental",Stefano Savona,,,Italia,128 min.,,Numax Distribución,13 de Marzo de 2020
191,Harriet: En busca de la libertad,6,06-03-2020,"Biopic, Drama",Kasi Lemmons,"Cynthia Erivo, Deborah Ayorinde, Janelle Monáe, Joe Alwyn, Leslie Odom Jr.",Gregory Allen Howard,Estados Unidos,125 min.,,Universal ,06 de Marzo de 2020
192,El ritmo de la venganza,6,06-03-2020,Thriller,Reed Morano,"Blake Lively, Jude Law",Mark Burnell,Reino Unido,109 min. ,,Paramount,06 de Marzo de 2020
193,La ola verde (Que sea ley),8,06-03-2020,Documental,,,,Argentina,85 min.,,Caramel Films,06 de Marzo de 2020
194,Invisibles,6,06-03-2020,"Comedia, Drama",Gracia Querejeta,"Adriana Ozores, Blanca Portillo, Emma Suárez, Fernando Cayo, Nathalie Poza",,España,83 min.,,Wanda,06 de Marzo de 2020
195,La candidata perfecta,7,06-03-2020,Drama,Haifaa Al-Mansour,"Dae Al Hilali, Mila Al Zahrani, Nora Al Awadh",,Arabia Saudí,101 min. ,,Golem,06 de Marzo de 2020
196,La camarista,8,06-03-2020,Drama,Lila Avilés,"Agustina Quinci, Alán Uribe, Gabriela Cartol, Teresa Sánchez",,México,102 min.,,El Sur Films,06 de Marzo de 2020
197,Lo mejor está por llegar,6,06-03-2020,"Comedia, Drama","Alexandre de La Patellière, Matthieu Delaporte","Fabrice Luchini, Martina García, Pascale Arbillot, Patrick Bruel, Thierry Godard","Alexandre de La Patellière, Matthieu Delaporte",Francia ,117 min. ,,Vértigo Films,06 de Marzo de 2020
198,Skin,6,06-03-2020,Drama,Guy Nattiv,"Danielle Macdonald, Jamie Bell, Vera Farmiga",,Estados Unidos,110 min.,,VerCine,06 de Marzo de 2020
199,Salvar o morir,6,06-03-2020,Drama,Frédéric Tellier,"Anaïs Demoustier, Chloé Stéfani, Pierre Niney, Sami Bouajila, Vincent Rottiers",,Francia,116 min.,,A Contracorriente Films,06 de Marzo de 2020
200,Onward,6,06-03-2020,Animación,Dan Scanlon,,C.S. Anderson,Estados Unidos,103 min.,,Disney,06 de Marzo de 2020
201,Bloodshot,4,06-03-2020,"Acción, Fantasía",Dave Wilson,"Toby Kebbell, Vin Diesel","Eric Heisserer, Jeff Wadlow",Estados Unidos,110 min.,,Somy ,06 de Marzo de 2020
202,El hombre invisible,7,28-02-2020,"Fantástico, Terror",,Elisabeth Moss,Leigh Whannell,Estados Unidos,124 min.,,Universal ,28 de Febrero de 2020
203,The Gentlemen: Los señores de la mafia,7,28-02-2020,"Acción, Thriller",Eliminar término: Guy Ritchie Guy Ritchie,"Charlie Hunnam, Henry Golding, Matthew McConaughey","Guy Ritchie, Ivan Atkinson, Marn Davies",Estados Unidos,113 min. ,,Vértice 360,28 de Febrero de 2020
204,El doble más quince,6,28-02-2020,Drama,Mikel Rueda,"Germán Alcarazu, Maribel Verdú, Mario Plágaro",Mikel Rueda,España,98 min.,,Filmax,28 de Febrero de 2020
205,La famosa invasión de los osos en Sicilia,8,28-02-2020,Animación,Lorenzo Mattotti,,"Jean-Luc Fromental, Thomas Bidegain",Francia,82 min.,,La Aventura,28 de Febrero de 2020
206,Especiales,7,28-02-2020,Drama,"Eric Toledano, Olivier Nakache","Aloïse Sauvage, Bryan Mialoundama, Hélène Vincent, Reda Kateb, Vincent Cassel","Eric Toledano, Olivier Nakache",Francia,114 min.,,A Contracorriente Films,28 de Febrero de 2020
207,El hombre que diseñó España,8,28-02-2020,Documental,"Andrea G. Bermejo, Miguel Larraya",,,España,75 min.,,Llanero Films,28 de Febrero de 2020
208,Cuestión de justicia,6,28-02-2020,,Destin Cretton,"Brie Larson, Jamie Foxx, Michael B. Jordan, O'Shea Jackson Jr.","Andrew Lanham, Destin Cretton",Estados Unidos,137 min.,,Warner Bros.,28 de Febrero de 2020
209,Cuerdas,6,28-02-2020,Thriller,José Luis Montesinos,"Miguel Ángel Jenner, Paula del Río",Yako Blesa,España,87 min.,,Begin Again Films,28 de Febrero de 2020
210,Monos,10,21-02-2020,"Drama, Thriller",Alejandro Landes,"Jorge Román, Julianne Nicholson, Moises Arias, Sofia Buenaventura",Alexis Dos Santos,Colombia,102 min.,,BTeam Pictures,21 de Febrero de 2020
211,Nuestras madres,7,21-02-2020,Drama,César Díaz,"Armando Espitia, Aurelia Caal, Emma Dib, Julio Serrano Echeverría, Victor Moreira",,Guatemala ,78 min.,,Alfa Pictures,21 de Febrero de 2020
212,Las golondrinas de Kabul,7,21-02-2020,"Animación, Drama",,,,"Francia, Luxemburgo, Suiza",80 min.,,Nightdrive,21 de Febrero de 2020
213,Manhattan sin salida,5,21-02-2020,"Acción, Thriller",Brian Kirk,"Chadwick Boseman, J.K. Simmons, Sienna Miller, Stephan James, Taylor Kitsch","Adam Mervis, Matthew Carnahan",Estados Unidos,99 min.,,Diamond Films,21 de Febrero de 2020
214,El plan,8,21-02-2020,Comedai,Polo Menárguez,"Antonio de la Torre, Chema del Barco, Raúl Arévalo",,España,79 min.,,Filmax,21 de Febrero de 2020
215,Domino,8,21-02-2020,Acción,,"Carice van Houten, Nikolaj Coster-Waldau",Petter Skavlan,"Dinamarca, Francia, Italia, Béligica, Países Bajos",89 min.,,A Contracorriente Films,21 de Febrero de 2020
216,<3,8,21-02-2020,Documental,María Antón Cabot,,,España,64 min.,,Dvein Films,21 de Febrero de 2020
217,Queen & Slim,6,21-02-2020,Drama,Melina Matsoukas,"Chloë Sevigny, Daniel Kaluuya, Jodie Turner-Smith","James Frey, Lena Waithe",Estados Unidos,132 min.,,Entertainment One Films,21 de Febrero de 2020
218,El huevo del dinosaurio,7,14-02-2020,Drama,Wang Quan'an,"Aorigeletu, Dulamjav Enkhtaivan, Gangtemuer Arild, Norovsambuu",,Mongolia,100 min.,,Caramel Films,14 de Febrero de 2020
219,Sinónimos,9,14-02-2020,Drama,Nadav Lapid,"Louise Chevillotte, Quentin Dolmaire, Tom Mercier",,"Francia, Israel, Alemania",123 min.,,La Aventura Audiovisual,14 de Febrero de 2020
220,Hasta que la boda nos separe,7,14-02-2020,Comedia,Dani de la Orden,"Alex García, Belén Cuesta, Silvia Alonso","Eric Navarro, Marta Sánchez, Olatz Arroyo",España,110 min.,,,14 de Febrero de 2020
221,"Casanova, su último amor",5,14-02-2020,"Drama, Romance",Benoît Jacquot,"Catherine Bailey, Stacy Martin, Valeria Golino, Vincent Lindon",Jérôme Beaujour,Francia,98 min.,,VerCine,14 de Febrero de 2020
222,El amor está en el agua,8,14-02-2020,"Animación, Romance",Masaaki Yuasa,,Reiko Yoshida,Japón,94 min. ,,Selecta Vision,14 de Febrero de 2020
223,Fantasy Island,4,14-02-2020,Terror,Jeff Wadlow,"Maggie Q, Michael Peña","Christopher Roach, Jeff Wadlow, Jillian Jacobs",Estados Unidos,110 min. ,,Sony,14 de Febrero de 2020
224,Sonic: La película,6,13-02-2020,"Acción, Comedia, Infantil",Jeff Fowler,"James Marsden, Jim Carrey, Tika Sumpter",,EE UU,99 min.,Todos los públicos,Paramount,13 de Febrero de 2020
225,El escándalo (Bombshell),7,07-02-2020,"Biografía, Drama",Jay Roach,"Allison Janney, Charlize Theron, John Lithgow, Margot Robbie, nicole kidman",Charles Randolph,Estados Unidos,108 min.,,Entertainment One Films,07 de Febrero de 2020
226,Aves de presa (y la fantabulosa emancipación de Harley Quinn),7,07-02-2020,"Acción, Comedia",Cathy Yan,"Ewan McGregor, Jurnee Smollett-Bell, Margot Robbie, Mary Elizabeth Winstead","Christina Hodson, Chuck Dixon, Jordan B. Gorfinkel",Estados Unidos,109 min.,,Warner Bros.,07 de Febrero de 2020
227,Solo nos queda bailar,8,07-02-2020,Drama,,"Ana Javakishvili, Bachi Valishvili, Giorgi Tsereteli, Levan Gelbakhiani",,Suecia,106 min.,,Avalon,07 de Febrero de 2020
228,Vida oculta,5,07-02-2020,Drama,,"August Diehl, Matthias Schoenaerts, Michael Nyqvist, Valerie Pachner",,Estados Unidos,180 min.,,Walt Disney ,07 de Febrero de 2020
229,Arima,7,07-02-2020,Drama,,"Iria Parada, Mabel Rivera, Melania Cruz, Nagore Arias, Rosa Puga Dávila, Tito Asorey",Jaione Camborda,Estados Unidos,77 min.,,Esnatu Zinema,07 de Febrero de 2020
230,Bliss,6,07-02-2020,Terror,Joe Begos,Dora Madison,,EE UU,80 min.,,Begin Again,07 de Febrero de 2020
231,Judy,6,31-01-2020,Biografía,Rupert Goold,"Finn Wittrock, Jessie Buckley, Michael Gambon, Renée Zellweger, Rufus Sewell",Tom Edge,Reino Unido,118 min.,,Vértice ,31 de Enero de 2020
232,Diamantes en bruto,10,31-01-2020,"Drama, Thriller","Ben Safdie, Joshua Safdie","Adam Sandler, Kevin Garnett",Ronald Bronstein,Estados Unidos,135 min. ,,Netflix,31 de Enero de 2020
233,Adú,8,31-01-2020,"Drama, Inmigración",Salvador Calvo,"Álvaro Cervantes, Anna Castillo, Jesús Carroza, Luis Tosar, Miquel Fernández",Alejandro Hernández,España,,,Paramount,31 de Enero de 2020
234,Un momento en el tiempo- Waves,6,31-01-2020,"Drama, Romance",Trey Edward Shults,,Trey Edward Shults,Estados Unidos,135 min. ,,Universal,31 de Enero de 2020
235,Mi gran pequeña granja,6,31-01-2020,Documental,John Chester,,,Estados Unidos,92 min.,,Festival Films,31 de Enero de 2020
236,Para toda la muerte,2,31-01-2020,Comedia,,,Ana Graciani,España,,,Alfa Pictures,31 de Enero de 2020
237,Underwater,5,31-01-2020,"Aventuras, Thriller",William Eubank,"Kristen Stewart, T.J. Miller, Vincent Cassel","Adam Cozad, Brian Duffield",Estados Unidos,,,Disney,31 de Enero de 2020
238,Éter,3,31-01-2020,"Drama, Thriller",Krzysztof Zanussi,"Andrzej Chyra, Jacek Poniedzialek, Ostap Vakulyuk, Zsolt László",,Polonia,118 min.,,Bosco Films,31 de Enero de 2020
239,Volando juntos,5,31-01-2020,"Aventuras, Drama",Nicolas Vanier,"Jean-Paul Rouve, Louis Vazquez, Mélanie Doutey",,Francia,118 min.,,A Contracorriente Films,31 de Enero de 2020
240,El lago del ganso salvaje,10,24-01-2020,"Drama, Thriller",Diao Yinan,"Gwei Lun-Mei, Hu Ge, Huang Jue, Liao Fan, Qi Dao, Regina Wan, Zeng Meihuizi",,China,117 min.,,Segarra,24 de Enero de 2020
241,Ema,9,24-01-2020,,Pablo Larraín,"Gael García Bernal, Giannina Fruttero, Mariana Di Girolamo, Santiago Cabrera","Alejandro Moreno, Guillermo Calderón",Chile,102 min.,,BTeam Pictures,24 de Enero de 2020
242,Sobre lo infinito,8,24-01-2020,Drama,Roy Andersson,"Anders Hellström, Jessica Louthander, Martin Serner, Tatiana Delaunay",,Suecia,76 min.,,Golem,24 de Enero de 2020
243,Las aventuras del Doctor Dolittle,2,24-01-2020,"Aventuras, Comedia",Stephen Gaghan,"Antonio Banderas, Jim Broadbent, Michael Sheen, Robert Downey Jr.",,Estados Unidos,106 min. ,,Universal,24 de Enero de 2020
244,Aguas oscuras,8,24-01-2020,Drama,Todd Haynes,"anne hathaway, Mark Ruffalo, Tim Robbins","Mario Correa, Matthew Carnahan, Nathaniel Rich",Estados Unidos,106 min.,,eOne Films,24 de Enero de 2020
245,Dios es mujer y se llama Petrunya,8,24-01-2020,Drama,Teona Strugar Mitevska,"Labina Mitevska, Stefan Vujisic, Suad Begovski, Zorica Nusheva",,Macedonia,100 min. ,,Karma Films,24 de Enero de 2020
246,Los niños del mar,7,24-01-2020,"Animación, Fantasía",Ayumu Watanabe,,Daisuke Igarashi,Japón,110 min.,,Selecta Visión,24 de Enero de 2020
247,Cerca del horizonte,4,24-01-2020,"Drama, Romance",Tim Trachte,"Jamie Bick, Jannik Schümann, Julia Eiber, Luise Befort, Luna Wedler",Ariane Schröder,Alemania,109 min.,,,24 de Enero de 2020
248,Jojo Rabbit,8,17-01-2020,"Comedia, Drama",Taika Waititi,Roman Griffin Davis,Taika Waititi,Estados Unidos,108 min.,,Disney,17 de Enero de 2020
249,Malasaña 32,7,17-01-2020,Terror,Albert Pintó,"Bea Segura, Begoña Vargas, Iván Marcos, Sergio Castellanos","David Orea, Gema R. Neira, Ramón Campos, Salvador S. Molina",España,,,Warner Bros.,17 de Enero de 2020
